Output Voltage vs Output Current, Run #1
Output Current ( A )	Output Voltage ( V )
-0.041	-4.063
-0.041	-4.024
-0.040	-3.984
-0.040	-3.944
-0.039	-3.904
-0.039	-3.864
-0.039	-3.824
-0.038	-3.784
-0.038	-3.744
-0.037	-3.706
-0.037	-3.663
-0.037	-3.624
-0.036	-3.583
-0.036	-3.545
-0.035	-3.506
-0.035	-3.464
-0.035	-3.423
-0.034	-3.385
-0.034	-3.344
-0.033	-3.305
-0.033	-3.262
-0.033	-3.223
-0.032	-3.184
-0.032	-3.144
-0.031	-3.104
-0.031	-3.062
-0.031	-3.023
-0.030	-2.984
-0.030	-2.944
-0.029	-2.905
-0.029	-2.866
-0.029	-2.823
-0.028	-2.783
-0.028	-2.743
-0.027	-2.705
-0.027	-2.666
-0.027	-2.622
-0.026	-2.584
-0.026	-2.543
-0.025	-2.505
-0.025	-2.464
-0.024	-2.422
-0.024	-2.383
-0.024	-2.344
-0.023	-2.303
-0.023	-2.264
-0.022	-2.222
-0.022	-2.183
-0.022	-2.144
-0.021	-2.102
-0.021	-2.064
-0.021	-2.024
-0.020	-1.982
-0.020	-1.943
-0.019	-1.903
-0.019	-1.863
-0.019	-1.824
-0.018	-1.782
-0.018	-1.743
-0.017	-1.701
-0.017	-1.663
-0.017	-1.624
-0.016	-1.582
-0.016	-1.543
-0.015	-1.503
-0.015	-1.463
-0.014	-1.423
-0.014	-1.382
-0.014	-1.343
-0.013	-1.304
-0.013	-1.263
-0.012	-1.223
-0.012	-1.182
-0.012	-1.143
-0.011	-1.104
-0.011	-1.062
-0.010	-1.024
-0.010	-0.984
-0.010	-0.942
-0.009	-0.903
-0.009	-0.860
-0.008	-0.822
-0.008	-0.782
-0.008	-0.742
-0.007	-0.703
-0.007	-0.661
-0.006	-0.620
-0.006	-0.581
-0.006	-0.541
-0.005	-0.502
-0.005	-0.464
-0.004	-0.421
-0.004	-0.381
-0.004	-0.342
-0.003	-0.302
-0.003	-0.263
-0.002	-0.220
-0.002	-0.182
-0.001	-0.140
-0.001	-0.102
-7.630E-4	-0.062
-3.662E-4	-0.020
6.104E-5	0.020
4.883E-4	0.059
8.850E-4	0.100
0.001	0.138
0.002	0.181
0.002	0.219
0.002	0.259
0.003	0.299
0.003	0.339
0.004	0.378
0.004	0.420
0.005	0.459
0.005	0.500
0.005	0.538
0.006	0.578
0.006	0.620
0.007	0.659
0.007	0.701
0.007	0.740
0.008	0.779
0.008	0.820
0.009	0.859
0.009	0.898
0.009	0.941
0.010	0.980
0.010	1.021
0.010	1.060
0.011	1.099
0.011	1.141
0.012	1.180
0.012	1.220
0.013	1.260
0.013	1.299
0.013	1.341
0.014	1.380
0.014	1.420
0.015	1.460
0.015	1.499
0.015	1.542
0.016	1.582
0.016	1.620
0.017	1.661
0.017	1.700
0.017	1.740
0.018	1.781
0.018	1.821
0.019	1.860
0.019	1.900
0.019	1.939
0.020	1.982
0.020	2.020
0.021	2.061
0.021	2.100
0.021	2.139
0.022	2.181
0.022	2.221
0.023	2.261
0.023	2.301
0.023	2.340
0.024	2.383
0.024	2.422
0.025	2.461
0.025	2.501
0.025	2.540
0.026	2.582
0.026	2.622
0.027	2.661
0.027	2.701
0.027	2.742
0.028	2.780
0.028	2.822
0.029	2.861
0.029	2.902
0.029	2.941
0.030	2.980
0.030	3.023
0.031	3.062
0.031	3.102
0.031	3.142
0.032	3.181
0.032	3.223
0.033	3.262
0.033	3.301
0.034	3.342
0.034	3.381
0.034	3.423
0.035	3.462
0.035	3.501
0.036	3.541
0.036	3.581
0.036	3.620
0.037	3.662
0.037	3.701
0.038	3.742
0.038	3.781
0.038	3.821
0.039	3.862
0.039	3.901
0.040	3.944
0.040	3.983
0.040	4.022
0.041	4.063
0.041	4.102
0.042	4.141
0.042	4.183
0.042	4.223
0.043	4.263
0.043	4.302
0.044	4.342
0.044	4.384
0.044	4.423
0.045	4.463
0.045	4.502
0.046	4.541
0.046	4.584
0.046	4.623
0.047	4.661
0.047	4.703
0.048	4.741
0.048	4.785
0.048	4.824
0.049	4.863
0.049	4.904
0.050	4.942
0.050	4.984
0.050	4.990
0.050	4.952
0.049	4.911
0.049	4.872
0.049	4.834
0.048	4.791
0.048	4.751
0.047	4.712
0.047	4.673
0.047	4.633
0.046	4.591
0.046	4.551
0.045	4.512
0.045	4.473
0.044	4.434
0.044	4.390
0.044	4.351
0.043	4.312
0.043	4.273
0.042	4.233
0.042	4.190
0.042	4.151
0.041	4.111
0.041	4.072
0.040	4.032
